,molecule_id,gene,x_pixel,y_pixel,z_pixel,point,z_pixel_int
0,1,Maoa,1705,1271,0.0,POINT(1705 1705),0
1,2,Maoa,1725,1922,0.0,POINT(1725 1725),0
2,3,Maoa,1753,1863,0.0,POINT(1753 1753),0
3,4,Maoa,1760,1865,0.0,POINT(1760 1760),0
4,5,Maoa,1904,794,0.0,POINT(1904 1904),0
5,6,Maoa,1915,1430,0.0,POINT(1915 1915),0
6,7,Maoa,1751,1873,13.76819064,POINT(1751 1751),1
7,8,Maoa,1780,1844,13.76819064,POINT(1780 1780),1
8,9,Maoa,1816,995,13.76819064,POINT(1816 1816),1
9,10,Maoa,1822,1232,13.76819064,POINT(1822 1822),1
10,11,Maoa,1880,1322,13.76819064,POINT(1880 1880),1
11,12,Maoa,1604,1695,27.53638128,POINT(1604 1604),2
12,13,Maoa,1652,1923,27.53638128,POINT(1652 1652),2
13,14,Maoa,1735,1870,27.53638128,POINT(1735 1735),2
14,15,Maoa,1802,1843,27.53638128,POINT(1802 1802),2
15,16,Maoa,1847,1711,27.53638128,POINT(1847 1847),2
16,17,Maoa,1886,998,27.53638128,POINT(1886 1886),2
17,18,Maoa,1928,1095,27.53638128,POINT(1928 1928),2
18,19,Maoa,1515,1859,41.30457192,POINT(1515 1515),3
19,20,Maoa,1737,1171,41.30457192,POINT(1737 1737),3
20,21,Maoa,1775,1195,41.30457192,POINT(1775 1775),3
21,22,Maoa,1589,1814,55.07276256,POINT(1589 1589),4
22,23,Maoa,1711,1229,55.07276256,POINT(1711 1711),4
23,24,Maoa,1781,1101,55.07276256,POINT(1781 1781),4
24,25,Maoa,1788,1198,55.07276256,POINT(1788 1788),4
25,26,Maoa,1788,1906,55.07276256,POINT(1788 1788),4
26,27,Maoa,1896,660,55.07276256,POINT(1896 1896),4
27,28,Maoa,1767,1898,68.8409532,POINT(1767 1767),5
28,29,Hmgb2,1835,926,13.76819064,POINT(1835 1835),1
29,30,Hmgb2,1644,1696,27.53638128,POINT(1644 1644),2
30,31,Hmgb2,1835,938,110.1455251,POINT(1835 1835),7
31,32,Txndc5,1557,1641,0.0,POINT(1557 1557),0
32,33,Txndc5,1559,1832,0.0,POINT(1559 1559),0
33,34,Txndc5,1658,1663,0.0,POINT(1658 1658),0
34,35,Txndc5,1780,1873,0.0,POINT(1780 1780),0
35,36,Txndc5,1786,1440,0.0,POINT(1786 1786),0
36,37,Txndc5,1814,944,0.0,POINT(1814 1814),0
37,38,Txndc5,1828,1217,0.0,POINT(1828 1828),0
38,39,Txndc5,1834,1856,0.0,POINT(1834 1834),0
39,40,Txndc5,1682,1382,13.76819064,POINT(1682 1682),1
40,41,Txndc5,1745,1806,13.76819064,POINT(1745 1745),1
41,42,Txndc5,1758,1793,13.76819064,POINT(1758 1758),1
42,43,Txndc5,1807,943,13.76819064,POINT(1807 1807),1
43,44,Txndc5,1829,1714,13.76819064,POINT(1829 1829),1
44,45,Txndc5,1841,942,13.76819064,POINT(1841 1841),1
45,46,Txndc5,1860,1635,13.76819064,POINT(1860 1860),1
46,47,Txndc5,1755,1807,27.53638128,POINT(1755 1755),2
47,48,Txndc5,1773,1016,27.53638128,POINT(1773 1773),2
48,49,Txndc5,1800,1252,27.53638128,POINT(1800 1800),2
49,50,Txndc5,1837,1852,27.53638128,POINT(1837 1837),2
50,51,Txndc5,1866,1828,27.53638128,POINT(1866 1866),2
51,52,Txndc5,1870,1196,27.53638128,POINT(1870 1870),2
52,53,Txndc5,1935,872,27.53638128,POINT(1935 1935),2
53,54,Txndc5,1511,1865,41.30457192,POINT(1511 1511),3
54,55,Txndc5,1519,1667,41.30457192,POINT(1519 1519),3
55,56,Txndc5,1578,1572,41.30457192,POINT(1578 1578),3
56,57,Txndc5,1708,1224,41.30457192,POINT(1708 1708),3
57,58,Txndc5,1740,1633,41.30457192,POINT(1740 1740),3
58,59,Txndc5,1814,1233,41.30457192,POINT(1814 1814),3
59,60,Txndc5,1877,1070,41.30457192,POINT(1877 1877),3
60,61,Txndc5,1554,1606,55.07276256,POINT(1554 1554),4
61,62,Txndc5,1566,1798,55.07276256,POINT(1566 1566),4
62,63,Txndc5,1702,1698,55.07276256,POINT(1702 1702),4
63,64,Txndc5,1715,1191,55.07276256,POINT(1715 1715),4
64,65,Txndc5,1726,1206,55.07276256,POINT(1726 1726),4
65,66,Txndc5,1777,1151,55.07276256,POINT(1777 1777),4
