cell,z,polygon
1,1,"POLYGON((2053 51,2053 54,2053 57,2056 57,2059 57,2059 54,2059 51,2059 48,2056 48,2056 45,2056 42,2056 39,2056 36,2053 33,2050 30,2047 27,2044 27,2041 27,2038 27,2035 30,2032 33,2029 36,2029 39,2026 39,2023 42,2020 45,2017 48,2014 48,2011 45,2011 42,2008 39,2008 36,2008 33,2008 30,2008 27,2008 24,2008 21,2008 18,2008 15,2008 12,2008 9,2011 9,2014 6,2014 3,2017 3,2020 3,2023 3,2026 3,2029 3,2032 3,2035 3,2038 3,2041 3,2044 3,2047 3,2050 3,2053 3,2056 3,2059 3,2062 3,2065 3,2068 3,2071 3,2074 3,2077 3,2080 3,2083 3,2086 3,2089 3,2092 3,2095 3,2098 3,2101 3,2104 3,2107 3,2110 3,2113 3,2116 3,2119 3,2119 6,2119 9,2119 12,2116 15,2116 18,2113 18,2110 21,2107 21,2104 24,2101 24,2098 27,2095 30,2092 33,2089 36,2086 39,2083 39,2080 39,2077 39,2074 39,2071 42,2068 42,2065 42,2062 45,2053 51))"
2,1,"POLYGON((2134 120,2137 117,2140 114,2143 111,2146 108,2149 108,2152 108,2155 108,2158 108,2161 108,2164 108,2167 111,2170 111,2173 111,2176 111,2179 111,2182 108,2185 108,2188 105,2191 102,2191 99,2191 96,2191 93,2191 90,2191 87,2191 84,2191 81,2191 78,2191 75,2194 72,2194 69,2197 66,2197 63,2197 60,2200 57,2200 54,2203 51,2203 48,2206 45,2209 42,2209 39,2212 36,2212 33,2212 30,2209 27,2209 24,2209 21,2206 18,2206 15,2203 12,2203 9,2200 6,2200 3,2197 3,2194 3,2191 3,2188 3,2185 3,2182 3,2179 3,2176 3,2173 3,2170 3,2167 3,2164 3,2161 3,2158 3,2155 3,2152 3,2149 3,2146 3,2143 3,2140 3,2137 3,2134 3,2131 3,2128 3,2125 3,2122 3,2122 6,2122 9,2122 12,2119 15,2119 18,2116 21,2113 21,2110 24,2107 24,2104 27,2101 27,2098 30,2095 33,2092 36,2089 39,2089 42,2092 45,2095 48,2098 51,2101 54,2104 57,2107 60,2107 63,2110 66,2110 69,2113 72,2113 75,2116 78,2116 81,2116 84,2119 87,2119 90,2119 93,2119 96,2119 99,2119 102,2119 105,2116 108,2116 111,2116 114,2119 117,2122 120,2125 123,2128 123,2131 123,2134 120))"
3,1,"POLYGON((2134 135,2134 132,2134 129,2131 129,2128 129,2128 132,2128 135,2131 135,2134 135))"
4,1,"POLYGON((2086 132,2083 132,2080 132,2077 132,2074 132,2071 132,2068 132,2065 129,2062 129,2059 126,2056 126,2053 123,2050 120,2047 120,2044 120,2041 117,2038 117,2035 117,2032 117,2029 117,2029 114,2029 111,2029 108,2029 105,2026 102,2026 99,2026 96,2026 93,2026 90,2026 87,2026 84,2026 81,2026 78,2026 75,2026 72,2029 72,2032 69,2035 69,2038 69,2041 66,2044 66,2047 63,2050 60,2053 60,2056 60,2059 60,2062 57,2062 54,2062 51,2062 48,2065 45,2068 45,2071 45,2074 42,2077 42,2080 42,2083 42,2086 42,2089 45,2092 48,2095 51,2098 54,2101 57,2104 60,2104 63,2107 66,2107 69,2110 72,2110 75,2113 78,2113 81,2113 84,2116 87,2116 90,2116 93,2116 96,2116 99,2116 102,2116 105,2113 108,2113 111,2113 114,2110 114,2107 117,2104 117,2101 120,2098 123,2095 123,2092 126,2089 129,2086 132))"
5,1,"POLYGON((2092 222,2089 222,2086 222,2083 222,2080 222,2077 219,2074 219,2071 219,2068 219,2065 219,2062 219,2062 216,2062 213,2059 210,2056 207,2053 204,2053 201,2050 198,2047 195,2047 192,2044 189,2041 186,2041 183,2041 180,2038 177,2038 174,2038 171,2038 168,2035 165,2035 162,2035 159,2035 156,2032 153,2029 153,2029 150,2029 147,2029 144,2029 141,2029 138,2029 135,2029 132,2029 129,2029 126,2029 123,2029 120,2032 120,2035 120,2038 120,2041 120,2044 123,2047 123,2050 123,2053 126,2056 129,2059 129,2062 132,2065 132,2068 135,2071 135,2074 135,2077 135,2080 135,2083 135,2086 135,2089 132,2092 129,2095 126,2098 126,2101 123,2104 120,2107 120,2110 117,2113 117,2116 117,2119 120,2122 123,2125 126,2125 129,2125 132,2125 135,2128 138,2128 141,2128 144,2128 147,2131 150,2131 153,2131 156,2131 159,2131 162,2131 165,2131 168,2131 171,2131 174,2131 177,2131 180,2128 183,2125 186,2125 189,2122 192,2119 195,2116 198,2116 201,2113 204,2113 207,2110 210,2107 213,2104 216,2101 216,2098 219,2095 219,2092 222))"
6,1,"POLYGON((2254 48,2257 45,2260 42,2263 42,2266 42,2269 42,2272 42,2275 42,2275 39,2275 36,2278 33,2278 30,2281 27,2281 24,2284 21,2284 18,2287 15,2287 12,2287 9,2290 6,2290 3,2287 3,2284 3,2281 3,2278 3,2275 3,2272 3,2269 3,2266 3,2263 3,2260 3,2257 3,2254 3,2251 3,2248 3,2245 3,2242 3,2239 3,2236 3,2233 3,2230 3,2227 3,2224 3,2221 3,2218 3,2215 3,2212 3,2209 3,2206 3,2203 3,2203 6,2206 9,2206 12,2209 15,2209 18,2212 21,2212 24,2212 27,2215 30,2215 33,2218 33,2221 36,2224 36,2227 39,2230 42,2233 45,2236 48,2239 51,2242 51,2245 51,2248 51,2251 51,2254 48))"
7,1,"POLYGON((2260 126,2257 126,2254 126,2251 126,2248 126,2245 126,2242 123,2239 123,2236 123,2233 123,2230 123,2227 120,2224 120,2221 120,2218 120,2215 120,2212 120,2209 120,2206 117,2203 117,2200 114,2200 111,2197 108,2194 105,2194 102,2194 99,2194 96,2194 93,2194 90,2194 87,2194 84,2194 81,2194 78,2194 75,2197 72,2197 69,2200 66,2200 63,2200 60,2203 57,2203 54,2206 51,2206 48,2209 45,2212 42,2212 39,2215 36,2218 36,2221 39,2224 39,2227 42,2230 45,2233 48,2236 51,2239 54,2242 54,2245 54,2248 54,2251 54,2254 51,2257 48,2260 45,2263 45,2266 45,2269 45,2272 45,2275 45,2278 48,2281 51,2281 54,2284 57,2287 60,2290 63,2293 66,2296 69,2296 72,2296 75,2296 78,2296 81,2293 84,2290 87,2290 90,2287 93,2287 96,2284 99,2284 102,2284 105,2284 108,2281 111,2281 114,2278 117,2275 117,2272 120,2269 120,2266 123,2263 123,2260 126))"
8,1,"POLYGON((2194 237,2191 237,2188 237,2185 234,2182 231,2179 228,2176 225,2173 222,2170 219,2167 219,2164 216,2161 216,2158 213,2158 210,2155 207,2155 204,2155 201,2158 198,2158 195,2155 192,2155 189,2152 186,2149 183,2146 180,2143 180,2140 177,2137 177,2134 177,2134 174,2134 171,2134 168,2134 165,2134 162,2134 159,2134 156,2134 153,2134 150,2131 147,2131 144,2131 141,2131 138,2134 138,2137 135,2137 132,2137 129,2134 126,2134 123,2137 120,2140 117,2143 114,2146 111,2149 111,2152 111,2155 111,2158 111,2161 111,2164 111,2167 114,2170 114,2173 114,2176 114,2179 114,2182 111,2185 111,2188 108,2191 105,2194 108,2197 111,2197 114,2200 117,2203 120,2206 120,2209 123,2212 123,2215 123,2218 123,2221 123,2224 123,2227 123,2230 126,2233 126,2236 126,2239 126,2242 126,2245 129,2248 129,2251 129,2254 129,2257 129,2257 132,2254 135,2254 138,2254 141,2254 144,2254 147,2254 150,2254 153,2254 156,2254 159,2257 162,2257 165,2257 168,2260 171,2260 174,2260 177,2260 180,2260 183,2260 186,2260 189,2260 192,2257 195,2254 198,2254 201,2251 204,2248 207,2248 210,2245 213,2242 213,2239 213,2236 213,2233 213,2230 213,2227 213,2224 213,2221 216,2218 216,2215 219,2212 222,2209 225,2206 228,2203 231,2200 231,2197 234,2194 237))"
9,1,"POLYGON((2314 87,2314 90,2314 93,2314 96,2311 96,2308 96,2305 96,2302 96,2302 93,2302 90,2302 87,2299 84,2299 81,2299 78,2299 75,2299 72,2299 69,2296 66,2293 63,2290 60,2287 57,2284 54,2284 51,2281 48,2278 45,2278 42,2278 39,2278 36,2281 33,2281 30,2284 27,2284 24,2287 21,2287 18,2290 15,2290 12,2290 9,2293 6,2293 3,2296 3,2299 3,2302 3,2305 3,2308 3,2311 3,2314 3,2317 3,2320 3,2323 3,2326 3,2329 3,2332 3,2335 3,2338 3,2341 3,2344 3,2347 3,2350 3,2353 3,2353 6,2350 9,2350 12,2350 15,2347 18,2347 21,2344 24,2344 27,2341 30,2338 33,2338 36,2335 39,2335 42,2335 45,2335 48,2335 51,2332 54,2329 57,2326 60,2323 60,2320 63,2317 63,2314 66,2311 66,2308 69,2305 72,2305 75,2305 78,2308 81,2311 84,2314 87))"
10,1,"POLYGON((2134 324,2131 324,2128 324,2125 324,2122 321,2119 321,2116 318,2113 315,2113 312,2113 309,2113 306,2113 303,2113 300,2113 297,2110 294,2110 291,2110 288,2107 285,2107 282,2107 279,2107 276,2107 273,2107 270,2107 267,2107 264,2107 261,2110 258,2110 255,2110 252,2110 249,2107 246,2104 243,2104 240,2101 237,2098 234,2095 231,2095 228,2092 225,2095 222,2098 222,2101 219,2104 219,2107 216,2110 213,2113 210,2116 207,2116 204,2119 201,2119 198,2122 195,2125 192,2128 189,2128 186,2131 183,2134 180,2137 180,2140 180,2143 183,2146 183,2149 186,2152 189,2152 192,2155 195,2155 198,2152 201,2152 204,2152 207,2155 210,2155 213,2158 216,2161 219,2164 219,2167 222,2170 222,2173 225,2176 228,2179 231,2182 234,2185 237,2188 240,2188 243,2188 246,2188 249,2188 252,2185 255,2185 258,2185 261,2182 264,2182 267,2179 270,2179 273,2176 276,2173 279,2173 282,2170 285,2170 288,2167 291,2164 294,2161 297,2158 300,2155 303,2152 306,2149 309,2146 312,2143 315,2140 318,2137 321,2134 324))"
